,job_title,company_name,python, R ,SQL,D3.js,matlab,excel, SAS ,BigML,Apache Spark,Jupyter,Tableau,Scikit,Tensorflow,Weka,Matplotlib,ggplot,nltk,Azure, BI ,Total num of tools
0,data scientist -Remote,Starbucks,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,Part-Time Student-Smart Connected Factory/Data and Analytics-Remote Availability,John Deere_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Data Scientist, Podcasts_Spotify,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3,Part Time Data Science Instructor,Kaplan,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,Data Scientist,IntelliGen Technologies_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Data Scientist (Part-Time, Remote)_KBR_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Data Scientist (Remote),Deloitte,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
7,Senior Lecturer (Online Adjunct), MS Data Science_ SBE_University of Wisconsin- Superior,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,Healthcare Data Analyst,Clarify Health Solutions.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Data Scientist - Entry Level,Numerdox,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
10,Data Scientist, Music Analytics_Spotify,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4
11,Part-Time Content Creator, Data_Juno College of Technology,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4
12,Data Scientist,Florida Blue,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
13,Data Scientist - Instagram, Well-Being - Foundation_Facebook,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
14,Analyst I, Data Science_Liberty Mutual Insurance,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
15,Data Science Engineer,Triangulate Labs,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
16,Data Mentor (Part Time),Pathrise,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
17,Sr. Data Science Assessment Developer,Alteryx_ Inc._,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Junior Business/Data Visualization Analyst,Oregon Catholic Press,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
19,DATA SCIENTISTS,INBOX AMERICA CONSULTING SERVICES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,Machine Learning Engineer,Ivy Tech Solutions inc,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,5
21,Data Scientist, Analytics - Jobs Integrity on Marketplace_Facebook,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
