,job_title,company_name,python, R ,SQL,D3.js,matlab,excel,SAS,BigML,Apache Spark,Jupyter,Tableau,Scikit,Tensorflow,Weka,Matplotlib,ggplot,nltk,Azure,BI
0,data scientist -Remote,Starbucks,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,Part-Time Student-Smart Connected Factory/Data and Analytics-Remote Availability,John Deere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Data Scientist, Podcasts_Spotify,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,Data Scientist,IntelliGen Technologies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,Part Time Data Science Instructor,Kaplan,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,Data Scientist (Part-Time, Remote)_KBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,Data Scientist (Remote),Deloitte,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
7,Data Scientist - Entry Level,Numerdox,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,Senior Lecturer (Online Adjunct), MS Data Science_ SBE_University of Wisconsin- Superior,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Data Scientist, Music Analytics_Spotify,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10,Healthcare Data Analyst,Clarify Health Solutions.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,Data Scientist - Analytics,Acorn Analytics,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
12,Data Engineer, Analytics (Generalist)_Facebook,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,Data Analytics Associate (SAS),Clarify Health Solutions.,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
14,Data Scientist - Analytics,Acorn Analytics,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
15,DATA ANALYST,University of Washington,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
16,Data Scientist,Kaplan,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
17,Part Time Data Science Instructor,Kaplan,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
18,Healthcare Data Analyst,Amino,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,Director I, Data Science_Liberty Mutual Insurance,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
20,Data Scientist, Podcasts_Spotify,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
